name,address,phone_number,website,description
VerveSmith - Independent Educational Consultants,"176 Yonge St Floor 6, Toronto, ON M5C 2L7",647-829-7127,http://www.vervesmith.com/,"VerveSmith provides comprehensive, personalized educational counseling to students and families from across North America and around the world."
You Can Learn Internation,"112 Élizabeth St, Toronto, ON M5G 1P5",647-691-9254,http://www.youcanlearn.ca/,You Can Learn Global Education is an organization of qualified Canadian educational professionals with degrees in Post...
Weclouddata Inc,"433 Yonge St, Toronto, ON M5B 1T3",647-748-7886,https://weclouddata.com/,"Founded in Toronto, WeCloudData assembled top talents from famous data-driven companies in North America to design and teach the most comprehensive and practical data science and d..."
Hearing Health Care Consultant Group,"1849 Yonge Street, Toronto, ON M4S 1Y2",416-488-1300,https://www.facebook.com/134972033950302,"Welcome to Hearing Health Care Consultant Group in Toronto offering central auditory processing assessments, hearing tests and hearing aid prescriptions."
York University,"2275 Bayview Ave, North York, ON M4N 3M6",416-487-6700,https://glendon.yorku.ca/,Glendon Campus - Information Technology Services
Toronto Catholic District School Board,"700 Markham, Toronto, ON M6G 2M3",416-393-5557,http://www.tcdsb.org/,Educational Consultants
University of Toronto,"105 St. George St, Toronto, ON M5S 3E6",416-946-7953,https://www.facebook.com/rotmanMBAadmissions,Corporate Connections Centre
University Of Toronto,"215 Huron St, Toronto, ON M5S 1A2",416-978-2111,http://www.utoronto.ca/,Educational Consultants
Ryerson University,"350 Victoria St, Toronto, ON M5B 2K3",416-797-5015,http://www.ryerson.ca/,Student Fees Office
Abstax Tax Services,"161 Main St, Toronto, ON M4E 2V9",416-691-5800,http://www.abstax.ca/,Educational Consultants
Neurodevelopmental & Educational Assessment Centre,"316-6855 Meadowvale Town Centre Cir, Mississauga, ON L5N 2Y1",905-826-6042,http://www.neuroed.com/,"NEAC provides a vast array of psychoeducational and neurodevelopmental services to individuals, institutions and organizations of Mississauga and neighbouring regions"
IEC Canada,"416-10 Macey Ave, Scarborough, ON M1L 4R4",647-572-1191,,Educational Consultants
Above And Beyond Consulting,"531-2275 Lake Shore Blvd W, Etobicoke, ON M8V 3Y3",416-792-4205,,Educational Consultants
Anne\'s Nursery School,"61 Clonmore Dr, Scarborough, ON M1N 1X9",416-699-0122,http://www.facebook.com/280987918923758,Educational Consultants
